city_name,region,federal,population
Абаза,Хакасия,Сибирский,12 272
Абакан,Хакасия,Сибирский,184 769
Абдулино,Оренбургская область,Приволжский,17 274
Абинск,Краснодарский край,Южный,39 511
Агидель,Башкортостан,Приволжский,14 219
Агрыз,Татарстан,Приволжский,19 991
Адыгейск,Адыгея,Южный,13 175
Азнакаево,Татарстан,Приволжский,34 750
Азов,Ростовская область,Южный,81 924
Ак-Довурак,Тыва,Сибирский,12 456
Аксай,Ростовская область,Южный,48 372
Алагир,Северная Осетия,Северо-Кавказский,21 550
Алапаевск,Свердловская область,Уральский,36 189
Алатырь,Чувашия,Приволжский,32 265
Алдан,Якутия,Дальневосточный,21 590
Алейск,Алтайский край,Сибирский,25 380
Александров,Владимирская область,Центральный,57 053
Александровск,Пермский край,Приволжский,10 780
Александровск-Сахалинский,Сахалинская область,Дальневосточный,8854
Алексеевка,Белгородская область,Центральный,36 578
Алексин,Тульская область,Центральный,60 842
Алзамай,Иркутская область,Сибирский,5373
Алупка не призн.,Крым,Южный,9063
Алушта не призн.,Крым,Южный,31 364
Альметьевск,Татарстан,Приволжский,163 512
Амурск,Хабаровский край,Дальневосточный,38 606
Анадырь,Чукотский АО,Дальневосточный,13 202
Анапа,Краснодарский край,Южный,81 863
Ангарск,Иркутская область,Сибирский,221 296
Андреаполь,Тверская область,Центральный,6956
Анжеро-Судженск,Кемеровская область,Сибирский,66 583
Анива,Сахалинская область,Дальневосточный,9638
Апатиты,Мурманская область,Северо-Западный,49 647
Апрелевка,Московская область,Центральный,35 514
Апшеронск,Краснодарский край,Южный,40 289
Арамиль,Свердловская область,Уральский,19 013
Аргун,Чечня,Северо-Кавказский,41 622
Ардатов,Мордовия,Приволжский,8857
Ардон,Северная Осетия,Северо-Кавказский,18 956
Арзамас,Нижегородская область,Приволжский,104 908
Аркадак,Саратовская область,Приволжский,10 990
Армавир,Краснодарский край,Южный,187 177
Армянск не призн.,Крым,Южный,20 692
Арсеньев,Приморский край,Дальневосточный,47 937
Арск,Татарстан,Приволжский,20 421
Артём,Приморский край,Дальневосточный,109 556
Артёмовск,Красноярский край,Сибирский,1510
Артёмовский,Свердловская область,Уральский,28 943
Архангельск,Архангельская область,Северо-Западный,301 199
Асбест,Свердловская область,Уральский,57 317
Асино,Томская область,Сибирский,24 913
Астрахань,Астраханская область,Южный,475 629
Аткарск,Саратовская область,Приволжский,22 709
Ахтубинск,Астраханская область,Южный,35 635
Ачинск,Красноярский край,Сибирский,100 621
Ачхой-Мартан,Чечня,Северо-Кавказский,30 739
Аша,Челябинская область,Уральский,27 890
Бабаево,Вологодская область,Северо-Западный,11 739
Бабушкин,Бурятия,Дальневосточный,4368
Бавлы,Татарстан,Приволжский,21 628
Багратионовск,Калининградская область,Северо-Западный,6417
Байкальск,Иркутская область,Сибирский,13 199
Баймак,Башкортостан,Приволжский,17 833
Бакал,Челябинская область,Уральский,16 345
Баксан,Кабардино-Балкария,Северо-Кавказский,39 593
Балабаново,Калужская область,Центральный,29 029
Балаково,Саратовская область,Приволжский,184 466
Балахна,Нижегородская область,Приволжский,48 569
Балашиха,Московская область,Центральный,520 962
Балашов,Саратовская область,Приволжский,74 057
Балей,Забайкальский край,Дальневосточный,10 286
Балтийск,Калининградская область,Северо-Западный,26 796
Барабинск,Новосибирская область,Сибирский,27 648
Барнаул,Алтайский край,Сибирский,630 877
Барыш,Ульяновская область,Приволжский,14 924
Батайск,Ростовская область,Южный,126 988
Бахчисарай не призн.,Крым,Южный,28 609
Бежецк,Тверская область,Центральный,21 466
Белая Калитва,Ростовская область,Южный,40 448
Белая Холуница,Кировская область,Приволжский,9659
Белгород,Белгородская область,Центральный,339 978
Белебей,Башкортостан,Приволжский,59 195
Белёв,Тульская область,Центральный,12 846
Белинский,Пензенская область,Приволжский,8656
Белово,Кемеровская область,Сибирский,68 542
Белогорск,Амурская область,Дальневосточный,61 440
Белогорск не призн.,Крым,Южный,17 445
Белозерск,Вологодская область,Северо-Западный,8375
Белокуриха,Алтайский край,Сибирский,14 735
Беломорск,Карелия,Северо-Западный,7708
Белоозёрский,Московская область,Центральный,13 737
Белорецк,Башкортостан,Приволжский,64 525
Белореченск,Краснодарский край,Южный,55 870
Белоусово,Калужская область,Центральный,10 946
Белоярский,Ханты-Мансийский АО,Уральский,19 994
Белый,Тверская область,Центральный,3125
Бердск,Новосибирская область,Сибирский,102 850
Березники,Пермский край,Приволжский,138 069
Берёзовский,Кемеровская область,Сибирский,44 932
Берёзовский,Свердловская область,Уральский,59 698
Беслан,Северная Осетия,Северо-Кавказский,35 929
Бийск,Алтайский край,Сибирский,183 852
Бикин,Хабаровский край,Дальневосточный,16 240
Билибино,Чукотский АО,Дальневосточный,5546
Биробиджан,Еврейская АО,Дальневосточный,70 064
Бирск,Башкортостан,Приволжский,44 295
Бирюсинск,Иркутская область,Сибирский,8632
Бирюч,Белгородская область,Центральный,7114
Благовещенск,Башкортостан,Приволжский,35 481
Благовещенск,Амурская область,Дальневосточный,241 437
Благодарный,Ставропольский край,Северо-Кавказский,30 827
Бобров,Воронежская область,Центральный,20 871
Богданович,Свердловская область,Уральский,30 142
Богородицк,Тульская область,Центральный,29 560
Богородск,Нижегородская область,Приволжский,35 068
Боготол,Красноярский край,Сибирский,18 206
Богучар,Воронежская область,Центральный,14 370
Бодайбо,Иркутская область,Сибирский,8921
Бокситогорск,Ленинградская область,Северо-Западный,16 185
Болгар,Татарстан,Приволжский,8285
Бологое,Тверская область,Центральный,20 234
Болотное,Новосибирская область,Сибирский,15 644
Болохово,Тульская область,Центральный,9339
Болхов,Орловская область,Центральный,9495
Большой Камень,Приморский край,Дальневосточный,41 825
Бор,Нижегородская область,Приволжский,78 372
Борзя,Забайкальский край,Дальневосточный,29 596
Борисоглебск,Воронежская область,Центральный,60 687
Боровичи,Новгородская область,Северо-Западный,47 883
Боровск,Калужская область,Центральный,12 598
Бородино,Красноярский край,Сибирский,15 174
Братск,Иркутская область,Сибирский,224 071
Бронницы,Московская область,Центральный,21 831
Брянск,Брянская область,Центральный,379 152
Бугры,Ленинградская область,Северо-Западный,22 428
Бугульма,Татарстан,Приволжский,81 677
Бугуруслан,Оренбургская область,Приволжский,43 593
Будённовск,Ставропольский край,Северо-Кавказский,58 103
Бузулук,Оренбургская область,Приволжский,88 341
Буинск,Татарстан,Приволжский,19 968
Буй,Костромская область,Центральный,20 564
Буйнакск,Дагестан,Северо-Кавказский,68 121
Бутурлиновка,Воронежская область,Центральный,24 397
Валдай,Новгородская область,Северо-Западный,14 074
Валуйки,Белгородская область,Центральный,33 032
Велиж,Смоленская область,Центральный,6293
Великие Луки,Псковская область,Северо-Западный,86 711
Великий Новгород,Новгородская область,Северо-Западный,224 286
Великий Устюг,Вологодская область,Северо-Западный,28 670
Вельск,Архангельская область,Северо-Западный,21 613
Венёв,Тульская область,Центральный,12 668
Верещагино,Пермский край,Приволжский,22 239
Верея,Московская область,Центральный,4906
Верхнеуральск,Челябинская область,Уральский,8929
Верхний Тагил,Свердловская область,Уральский,10 113
Верхний Уфалей,Челябинская область,Уральский,22 981
Верхняя Пышма,Свердловская область,Уральский,71 335
Верхняя Салда,Свердловская область,Уральский,41 034
Верхняя Тура,Свердловская область,Уральский,8554
Верхотурье,Свердловская область,Уральский,6706
Верхоянск,Якутия,Дальневосточный,828
Весьегонск,Тверская область,Центральный,6330
Ветлуга,Нижегородская область,Приволжский,7681
Видное,Московская область,Центральный,101 490
Вилюйск,Якутия,Дальневосточный,10 032
Вилючинск,Камчатский край,Дальневосточный,21 774
Вихоревка,Иркутская область,Сибирский,21 719
Вичуга,Ивановская область,Центральный,30 694
Владивосток,Приморский край,Дальневосточный,603 519
Владикавказ,Северная Осетия,Северо-Кавказский,295 830
Владимир,Владимирская область,Центральный,349 951
Волгоград,Волгоградская область,Южный,1 028 036
Волгодонск,Ростовская область,Южный,168 048
Волгореченск,Костромская область,Центральный,14 355
Волжск,Марий Эл,Приволжский,53 013
Волжский,Волгоградская область,Южный,321 479
Вологда,Вологодская область,Северо-Западный,313 944
Володарск,Нижегородская область,Приволжский,9705
Волоколамск,Московская область,Центральный,26 389
Волосово,Ленинградская область,Северо-Западный,11 931
Волхов,Ленинградская область,Северо-Западный,38 511
Волчанск,Свердловская область,Уральский,8573
