city_name,region,federal,population,lat,lon
Абакан,Хакасия,Сибирский,184769,53.721152,91.442396
Альметьевск,Татарстан,Приволжский,163512,54.901171,52.29723
Ангарск,Иркутская область,Сибирский,221296,52.544358,103.888249
Арзамас,Нижегородская область,Приволжский,104908,55.386799,43.814133
Армавир,Краснодарский край,Южный,187177,44.997655,41.129644
Артём,Приморский край,Дальневосточный,109556,43.353047,132.180339
Архангельск,Архангельская область,Северо-Западный,301199,64.539911,40.515762
Астрахань,Астраханская область,Южный,475629,46.347614,48.030178
Ачинск,Красноярский край,Сибирский,100621,56.269501,90.49524
Балаково,Саратовская область,Приволжский,184466,52.01843,47.819676
Балашиха,Московская область,Центральный,520962,55.797007,37.938118
Барнаул,Алтайский край,Сибирский,630877,53.346785,83.776856
Батайск,Ростовская область,Южный,126988,47.138333,39.744469
Белгород,Белгородская область,Центральный,339978,50.595414,36.587277
Бердск,Новосибирская область,Сибирский,102850,54.758288,83.107135
Березники,Пермский край,Приволжский,138069,59.407024,56.806719
Бийск,Алтайский край,Сибирский,183852,52.541811,85.220656
Благовещенск,Амурская область,Дальневосточный,241437,50.257456,127.534611
Братск,Иркутская область,Сибирский,224071,56.151682,101.633505
Брянск,Брянская область,Центральный,379152,53.2434,34.363991
Великий Новгород,Новгородская область,Северо-Западный,224286,58.522857,31.269816
Видное,Московская область,Центральный,101490,55.557037,37.70876
Владивосток,Приморский край,Дальневосточный,603519,43.115542,131.885494
Владикавказ,Северная Осетия,Северо-Кавказский,295830,43.024616,44.681771
Владимир,Владимирская область,Центральный,349951,56.129057,40.406635
Волгоград,Волгоградская область,Южный,1028036,48.707067,44.516975
Волгодонск,Ростовская область,Южный,168048,47.519624,42.206329
Волжский,Волгоградская область,Южный,321479,48.786127,44.751229
Вологда,Вологодская область,Северо-Западный,313944,59.220501,39.891523
Воронеж,Воронежская область,Центральный,1057681,51.660781,39.200296
Грозный,Чечня,Северо-Кавказский,328533,43.318366,45.692421
Дербент,Дагестан,Северо-Кавказский,124953,42.057669,48.288776
Дзержинск,Нижегородская область,Приволжский,218630,56.238382,43.461634
Димитровград,Ульяновская область,Приволжский,110968,54.217515,49.623924
Долгопрудный,Московская область,Центральный,120907,55.933302,37.51423
Домодедово,Московская область,Центральный,152404,55.437174,37.768004
Евпатория,Крым,Южный,107877,45.190635,33.367643
Екатеринбург,Свердловская область,Уральский,1544376,56.837435,60.597636
Ессентуки,Ставропольский край,Северо-Кавказский,119658,44.048232,42.856206
Жуковский,Московская область,Центральный,111222,55.59748,38.119811
Златоуст,Челябинская область,Уральский,161774,55.173113,59.672425
Иваново,Ивановская область,Центральный,361644,56.999799,40.973014
Ижевск,Удмуртия,Приволжский,623472,56.852755,53.207017
Иркутск,Иркутская область,Сибирский,606369,52.289588,104.280606
Йошкар-Ола,Марий Эл,Приволжский,281248,56.6316,47.886178
Казань,Татарстан,Приволжский,1308660,55.796127,49.106414
Калининград,Калининградская область,Северо-Западный,490449,54.710162,20.510137
Калуга,Калужская область,Центральный,337058,54.513678,36.261341
Каменск-Уральский,Свердловская область,Уральский,164192,56.415236,61.917818
Камышин,Волгоградская область,Южный,107927,50.085287,45.402166
Каспийск,Дагестан,Северо-Кавказский,121140,42.890853,47.635665
Кемерово,Кемеровская область,Сибирский,557119,55.355198,86.086847
Керчь,Крым,Южный,154621,45.356219,36.467378
Киров,Кировская область,Приволжский,468212,58.603595,49.668023
Кисловодск,Ставропольский край,Северо-Кавказский,127521,43.905518,42.715718
Ковров,Владимирская область,Центральный,132417,56.362506,41.310933
Коломна,Московская область,Центральный,134850,55.095276,38.765574
Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,238505,50.550055,137.008685
Копейск,Челябинская область,Уральский,147806,55.115697,61.611574
Королёв,Московская область,Центральный,228095,55.918953,37.815211
Кострома,Костромская область,Центральный,267481,57.767918,40.926894
Красногорск,Московская область,Центральный,187634,55.820369,37.319484
Краснодар,Краснодарский край,Южный,1099344,45.03547,38.975313
Красноярск,Красноярский край,Сибирский,1187771,56.010543,92.852581
Курган,Курганская область,Уральский,310911,55.441004,65.341118
Курск,Курская область,Центральный,440052,51.730846,36.193015
Кызыл,Тыва,Сибирский,125241,51.71989,94.43799
Липецк,Липецкая область,Центральный,496403,52.608826,39.599229
Люберцы,Московская область,Центральный,224195,55.676748,37.893328
Магнитогорск,Челябинская область,Уральский,410594,53.407163,58.980291
Майкоп,Адыгея,Южный,143385,44.606683,40.105852
Махачкала,Дагестан,Северо-Кавказский,623254,42.9831,47.504745
Миасс,Челябинская область,Уральский,147995,55.050432,60.109599
Михайловск,Ставропольский край,Северо-Кавказский,114133,45.129667,42.028803
Москва,Москва,Центральный,13010112,55.755864,37.617698
Мурманск,Мурманская область,Северо-Западный,270384,68.970663,33.074918
Муром,Владимирская область,Центральный,107497,55.579174,42.052411
Мытищи,Московская область,Центральный,255429,55.909968,37.736743
Набережные Челны,Татарстан,Приволжский,548434,55.741272,52.403662
Назрань,Ингушетия,Северо-Кавказский,122350,43.231409,44.768485
Нальчик,Кабардино-Балкария,Северо-Кавказский,247054,43.485259,43.607081
Находка,Приморский край,Дальневосточный,139931,42.824043,132.89282
Невинномысск,Ставропольский край,Северо-Кавказский,117562,44.638287,41.936061
Нефтекамск,Башкортостан,Приволжский,131942,56.088483,54.247751
Нефтеюганск,Ханты-Мансийский АО,Уральский,124732,61.088255,72.616403
Нижневартовск,Ханты-Мансийский АО,Уральский,283256,60.938545,76.558902
Нижнекамск,Татарстан,Приволжский,241479,55.637576,51.819712
Нижний Новгород,Нижегородская область,Приволжский,1226076,56.326797,44.006516
Нижний Тагил,Свердловская область,Уральский,338966,57.907562,59.971474
Новокузнецк,Кемеровская область,Сибирский,537480,53.757553,87.136053
Новомосковск,Тульская область,Центральный,119697,54.010914,38.291057
Новороссийск,Краснодарский край,Южный,262293,44.723771,37.768813
Новосибирск,Новосибирская область,Сибирский,1633595,55.030204,82.92043
Новочебоксарск,Чувашия,Приволжский,120375,56.108738,47.476807
Новочеркасск,Ростовская область,Южный,163674,47.422052,40.093734
Новошахтинск,Ростовская область,Южный,103480,47.754315,39.934705
Новый Уренгой,Ямало-Ненецкий АО,Уральский,107251,66.084539,76.680956
Ногинск,Московская область,Центральный,103891,55.854476,38.441866
Норильск,Красноярский край,Сибирский,174453,69.343985,88.210393
Ноябрьск,Ямало-Ненецкий АО,Уральский,100188,63.201805,75.450938
Обнинск,Калужская область,Центральный,125376,55.117082,36.597014
Одинцово,Московская область,Центральный,180530,55.679138,37.263663
Октябрьский,Башкортостан,Приволжский,115557,54.481454,53.46557
Омск,Омская область,Сибирский,1125695,54.989347,73.368221
Орёл,Орловская область,Центральный,303169,52.970756,36.064358
Оренбург,Оренбургская область,Приволжский,543654,51.768205,55.097
Орехово-Зуево,Московская область,Центральный,105745,55.805842,38.981601
Орск,Оренбургская область,Приволжский,189195,51.2293,58.474675
Пенза,Пензенская область,Приволжский,501109,53.195042,45.018316
Первоуральск,Свердловская область,Уральский,114450,56.905819,59.943267
Пермь,Пермский край,Приволжский,1034002,58.010455,56.229443
Петрозаводск,Карелия,Северо-Западный,234897,61.785021,34.346878
Петропавловск-Камчатский,Камчатский край,Дальневосточный,164900,53.024265,158.643503
Подольск,Московская область,Центральный,314934,55.431136,37.544997
Прокопьевск,Кемеровская область,Сибирский,177819,53.884493,86.750055
Псков,Псковская область,Северо-Западный,193082,57.819307,28.332792
Пушкино,Московская область,Центральный,110868,56.011318,37.847164
Пятигорск,Ставропольский край,Северо-Кавказский,146473,44.039815,43.070427
Раменское,Московская область,Центральный,114537,55.567586,38.225004
Реутов,Московская область,Центральный,113871,55.760565,37.85506
Ростов-на-Дону,Ростовская область,Южный,1142162,47.222109,39.718813
Рубцовск,Алтайский край,Сибирский,126834,51.527623,81.217673
Рыбинск,Ярославская область,Центральный,177295,58.04864,38.855711
Рязань,Рязанская область,Центральный,528599,54.629221,39.737111
Салават,Башкортостан,Приволжский,148575,53.361651,55.924681
